"sim_id","lon","lat"
"173711_10",-60.77225502448,-62.4699830741293
"173711_10",-60.6277518238385,-62.3192319190287
"173711_10",-60.3073922426658,-61.861942034424
"173711_10",-60.2967597785446,-61.8368921091988
"173711_10",-60.2977531170979,-62.3952063578608
"173711_10",-60.5353933098455,-62.8758034104579
"173711_10",-60.5423905433956,-62.5753916425773
"173711_10",-60.6924558407654,-62.341832890908
"173711_10",-60.7654453777831,-62.4615997985947
"173711_10",-60.9180490291128,-62.4049530470667
"173711_10",-60.9940699664826,-62.009802883809
"173711_10",-60.9903190122605,-61.5393977566196
"173711_10",-60.8560056313125,-61.254866197896
"173711_10",-60.4928616290799,-61.109440166415
"173711_10",-60.7002804404776,-61.2798516400307
"173711_10",-60.5318814578764,-61.0258194636009
"173711_10",-60.926020055159,-61.2261855790863
"173711_10",-60.9973501197249,-61.0037750916811
"173711_10",-60.8430784718988,-60.9122720215722
"173711_10",-60.8489620113996,-60.9498147641517
"173711_10",-60.6991599257889,-60.3358337306525
"173711_10",-60.6522006584739,-60.0100945074002
"173711_10",-60.7671557020276,-60.2273568602301
"173711_10",-60.7665940334788,-60.4206185840319
"173711_10",-60.6882355184296,-60.4343843235814
"173711_10",-60.7741430511383,-60.4016591776889
"173711_10",-60.9466592873529,-60.4010250399786
"173711_10",-60.8716093410055,-60.4551112244671
"173711_10",-61.1539823803969,-60.6119491864824
"173711_10",-61.1188717538714,-60.6134862753082
"173711_10",-60.9022187312659,-60.1664023514797
"173711_10",-60.9038184251549,-60.3303274807134
"173711_10",-60.9320622708923,-60.0061064782372
"173711_10",-60.8672534996418,-59.8760246155185
"173711_10",-60.8239376116117,-59.2645610676299
"173711_10",-60.5583739720246,-58.8931598827378
"173711_10",-60.4249352291481,-58.8159651025503
"173711_10",-60.2546929130419,-58.3914579302349
"173711_10",-60.2731651827663,-57.9689193296063
"173711_10",-60.0478186422288,-57.6656030657135
"173711_10",-59.8637000361087,-57.5267892965093
"173711_10",-60.1774952519627,-58.3230316399497
"173711_10",-60.3660722319666,-58.037585633992
"173711_10",-60.5093041305608,-58.3346089804499
"173711_10",-60.7238380807362,-58.5492617459191
"173711_10",-60.6490664347347,-58.6042670007522
"173711_10",-60.3710361147403,-58.7772053727531
"173711_10",-60.3759824035446,-58.8631783213096
"173711_10",-60.1608467319889,-58.8390285295246
"173711_10",-60.0266221460682,-58.5755785734328
"173711_10",-59.9821482591703,-58.3997247098522
"173711_10",-59.9954312897971,-58.3827693298795
"173711_10",-59.6972911882118,-58.1230441426447
"173711_10",-59.5162097262363,-58.1146712744388
"173711_10",-59.5099602464025,-58.3866828864942
"173711_10",-59.5164044914762,-58.5234071353133
"173711_10",-59.5658835118925,-58.7900559201281
"173711_10",-59.5331184432824,-58.8125477200744
"173711_10",-59.1959865738931,-58.339921305227
"173711_10",-59.2582816587697,-58.8606697819712
"173711_10",-59.3665325204652,-59.10485242611
"173711_10",-59.5047926071937,-59.2518749481068
"173711_10",-59.4067315793742,-59.0755976059234
"173711_10",-59.0067396304857,-58.7401296564866
"173711_10",-58.964173845006,-59.1810613305344
"173711_10",-58.7999271465613,-59.2178461173797
"173711_10",-58.5600782570185,-59.1576708276702
"173711_10",-58.6242541891299,-59.2301665707335
"173711_10",-58.8223553848374,-59.2303526509515
"173711_10",-58.6831019902547,-59.0267333107264
"173711_10",-58.5275028235776,-58.729598358368
"173711_10",-58.2933871402219,-58.6188754024722
"173711_10",-58.0832295104479,-58.5062934522102
"173711_10",-58.1082754512192,-58.9489452477465
"173711_10",-58.1234696421541,-59.0355335153101
"173711_10",-58.5427288202844,-59.1048719795476
"173711_10",-58.8673059293451,-58.7267430806368
"173711_10",-59.1907347553641,-58.8118576888114
"173711_10",-59.3537589116504,-58.809697791502
"173711_10",-59.2812080458324,-58.812148568022
"173711_10",-59.2665380425067,-58.8544707957969
"173711_10",-59.1701612704215,-58.6651203792517
"173711_10",-59.0467492236034,-58.6795059941118
"173711_10",-59.0820870134434,-59.267426872433
"173711_10",-59.2506230920999,-59.4762059735723
"173711_10",-59.0655676597381,-59.2656936987684
"173711_10",-58.9122090811399,-59.2411530050225
"173711_10",-58.5153819101148,-58.8405293116516
"173711_10",-58.5612963669818,-58.7879423755953
"173711_10",-58.717375417938,-58.998810520942
"173711_10",-58.3515310314305,-58.4314029026477
"173711_10",-58.2535048884716,-58.3121018849617
"173711_10",-58.1929744970695,-58.0873990102934
"173711_10",-58.2165567645609,-57.8023349284589
"173711_10",-58.3727566781176,-57.8339305796985
"173711_10",-58.6131200239673,-57.8051851508935
"173711_10",-58.8529580888853,-57.7977939593254
"173711_10",-58.7880950209659,-57.597571100949
"173711_10",-59.0287606513052,-57.6404711169713
"173711_10",-59.1090970372088,-57.7943651325193
"173711_10",-59.1262323228451,-57.8613802303932
"173711_10",-59.2266473546255,-58.1131915682526
"173711_10",-59.2424575677966,-57.9558295107948
"173711_10",-59.3881736811916,-57.9881482556347
"173711_10",-59.3739496419734,-58.2633004643909
"173711_10",-59.4217736885149,-58.275165209589
"173711_10",-59.8169091191578,-58.605123429028
"173711_10",-59.7508683791596,-58.5982818197982
"173711_10",-59.6127140897648,-58.4279713593302
"173711_10",-59.4587075320145,-58.2097197682073
"173711_10",-59.6198178716834,-58.3662188563787
"173711_10",-59.7947857097071,-58.513724029679
"173711_10",-59.8332751140865,-58.559855601092
"173711_10",-59.6208398081355,-58.6343327801256
"173711_10",-59.498746695333,-58.4549184129232
"173711_10",-59.2622707387759,-58.4190614585518
"173711_10",-59.2844959931258,-58.3803055829489
"173711_10",-59.5624121032347,-58.2336716571486
"173711_10",-59.7368334888699,-58.3866205121585
"173711_10",-59.7178132768732,-58.541471841897
"173711_10",-59.837299766572,-58.7948615588982
"173711_10",-59.8382092961151,-58.7868902234574
"173711_10",-60.0861886005221,-59.3016386952345
"173711_10",-60.2307245741055,-59.7285753355806
"173711_10",-60.1413620387495,-59.5229958287648
"173711_10",-60.2717130569676,-59.5451466929782
"173711_10",-60.2055856266038,-59.7696572102901
"173711_10",-60.1842426148838,-59.5691895489977
"173711_10",-59.8064229811638,-58.9735604815344
"173711_10",-59.8648981604583,-59.1139782254622
"173711_10",-59.7021227515019,-58.7745679337791
"173711_10",-59.6212597372738,-58.7263871369895
"173711_10",-60.0312739515102,-58.8732196337138
"173711_10",-60.0987100285476,-58.7418741891533
"173711_10",-60.0635022486806,-58.6775323484315
"173711_10",-60.0278432337654,-58.8110796035104
"173711_10",-60.1396991232222,-58.7096414574397
"173711_10",-59.7951595245612,-58.5662374926018
"173711_10",-59.8978690277225,-58.6469856260077
"173711_10",-59.5347229288776,-58.836449430402
"173711_10",-59.4322193817557,-59.1438774426859
"173711_10",-59.3794436899661,-59.4912626648396
"173711_10",-59.3202096044208,-59.317484230066
"173711_10",-59.049867773761,-58.8764500789843
"173711_10",-59.4972395695404,-59.2057619087401
"173711_10",-59.4919293410053,-59.2849829638158
"173711_10",-59.1824416763832,-59.2099379560258
"173711_10",-59.0621100239556,-59.321558330779
"173711_10",-59.1034328965216,-59.5400226129597
"173711_10",-59.1803115453985,-59.3419349759317
"173711_10",-59.0440249439846,-59.1954692537053
"173711_10",-58.973707996876,-59.4398333304222
"173711_10",-59.0238234636571,-59.5510102626593
"173711_10",-58.9995337525105,-59.743631370135
"173711_10",-59.2632908712353,-59.7665725572364
"173711_10",-59.1536484876636,-59.2572196067111
"173711_10",-59.1904652067208,-59.2261883891825
"173711_10",-59.0747365109638,-58.7040789341658
"173711_10",-59.0386137266525,-58.6531300344187
"173711_10",-59.1355954680283,-58.6424348657452
"173711_10",-59.4738353213588,-59.2577954856016
"173711_10",-59.4971978372653,-59.1457040766486
"173711_10",-59.5721908580553,-59.1539779317591
"173711_10",-59.7697562971136,-59.2317456055048
"173711_10",-59.970316318453,-58.8820240909626
"173711_10",-60.0796001317452,-58.8247829863145
"173711_10",-59.978347863177,-58.5320292232317
"173711_10",-59.8473214578993,-58.4159096975369
"173711_10",-59.7610250809142,-58.4262617256958
"173711_10",-59.9930143223103,-58.4860521512389
"173711_10",-60.1373425329604,-58.4383380434547
"173711_10",-60.1933123188425,-58.6378405127824
"173711_10",-60.0724007654432,-58.6556581827118
"173711_10",-60.2391426172834,-58.9778984607815
"173711_10",-60.50980618507,-58.9539623089634
"173711_10",-60.7199786968075,-58.8369283408261
"173711_10",-60.9775639541523,-58.849275155151
"173711_10",-61.2193483958592,-59.1164166236265
"173711_10",-61.4069721004615,-59.3637722045686
"173711_10",-61.326780241179,-59.1843721814654
"173711_10",-61.6343958910747,-59.3376522574207
"173711_10",-61.8278501650135,-59.6610348219542
"173711_10",-61.9292878676673,-59.6741009796217
"173711_10",-61.8788232033438,-59.6472119317232
"173711_10",-62.001464771846,-59.8226138888868
"173711_10",-62.3273979765376,-59.8868164551867
"173711_10",-62.059348261998,-59.7466848291301
"173711_10",-62.0302917765745,-59.6571312907099
"173711_10",-62.0729194670284,-59.669599414207
"173711_10",-62.0469787686542,-59.7638490202953
"173711_10",-61.9151325872642,-59.8056913713604
"173711_10",-61.9051848328167,-59.7702218718539
"173711_10",-61.7281510480364,-59.3876237789417
"173711_10",-61.5246415981548,-59.2441139792464
"173711_10",-61.4627756274078,-58.9941037038
"173711_10",-61.462095163934,-58.6110407827969
"173711_10",-61.5068263116105,-58.603823319473
"173711_10",-61.7796592504866,-59.1979875559147
"173711_10",-61.6891968485453,-59.0705945431194
"173711_10",-61.6388301205223,-59.2602874548722
"173711_10",-61.6555905799991,-59.4936922815662
"173711_10",-62.0630086493169,-59.6511798138919
"173711_10",-62.0158996988042,-59.5607078209903
"173711_10",-61.9704804547817,-59.2974649013554
"173711_10",-61.9318528483705,-59.3232258781973
"173711_10",-62.0221028590813,-59.0345387660707
"173711_10",-62.3620163009177,-59.1713926888149
"173711_10",-62.3813528283935,-59.172638853172
"173711_10",-62.4515519329501,-59.3526953962185
"173711_10",-62.5693833689975,-59.3833661459223
"173711_10",-62.5103316894034,-59.4038797983461
"173711_10",-62.6035601952771,-59.6177164944852
"173711_10",-63.0205178557132,-59.5748535757736
"173711_10",-63.2923315720864,-59.4762501001745
"173711_10",-63.5302518535646,-59.5714958640719
"173711_10",-63.5664137403708,-59.8446107863561
"173711_10",-63.461772074341,-59.9729693234874
"173711_10",-63.4377287708162,-59.9033247702965
"173711_10",-63.622009436008,-60.4582803524857
"173711_10",-63.5241217246955,-60.4961333959601
"173711_10",-63.5612854612205,-60.8090193811607
"173711_10",-63.6633075595335,-60.8558764737481
"173711_10",-63.8094415019649,-60.7307077125478
"173711_10",-63.7969350527053,-60.5154999087002
"173711_10",-63.523049578797,-60.0766388884492
"173711_10",-63.6393600176438,-60.0548890924006
"173711_10",-63.5711959767565,-59.8338798852281
"173711_10",-63.319014436787,-59.8255095326698
"173711_10",-63.3116159682243,-59.7499329260872
"173711_10",-63.3896535049197,-59.5857513401146
"173711_10",-63.3708156310339,-59.4807026892761
"173711_10",-63.2104259411557,-59.1299672857258
"173711_10",-62.9716458195962,-59.0064532503989
"173711_10",-63.0232170443151,-59.1664496657
"173711_10",-63.2676991904293,-59.4764085760363
"173711_10",-63.1229435420377,-59.3385466701132
"173711_10",-63.2636907817525,-59.3293027264666
"173711_10",-63.248631734524,-59.5445263019836
"173711_10",-62.998530388006,-59.2626501708117
"173711_10",-63.0737599628655,-58.9888277659903
"173711_10",-63.321297195214,-59.0662541437238
"173711_10",-63.4743949804844,-59.4314901537215
"173711_10",-63.5556729941621,-59.7124009751958
"173711_10",-63.8183137907191,-60.2044214590204
"173711_10",-63.818470793974,-60.018362991913
"173711_10",-64.0550403812361,-60.1761740491559
"173711_10",-63.9692867553906,-60.1131910913114
"173711_10",-63.8628869534182,-59.9190308345006
"173711_10",-63.8261691702167,-59.846199433984
"173711_10",-63.8227420077937,-60.1279542394358
"173711_10",-63.5954089923062,-59.9627091006131
"173711_10",-63.4558462771164,-59.547192096954
"173711_10",-63.4435570405465,-59.707861828588
"173711_10",-63.4983504051267,-59.5311203835409
"173711_10",-63.5922563357514,-59.3035521800873
"173711_10",-63.7206889419884,-59.2519314972242
"173711_10",-63.8731204927018,-59.3942808056198
"173711_10",-64.0421918969065,-59.5912792405093
"173711_10",-63.95730598463,-59.424584742768
"173711_10",-63.7893331549274,-59.230755642792
"173711_10",-63.9256017738736,-59.0456310408621
"173711_10",-63.5901817828963,-58.874005766985
"173711_10",-63.4180302580261,-59.0292374310761
"173711_10",-63.4273962808791,-59.0497784585748
"173711_10",-63.3599463883456,-58.6992271951271
"173711_10",-62.9575269967238,-58.0889159897952
"173711_10",-62.9632605867515,-58.2688683951307
"173711_10",-62.827765383231,-57.9060802581646
"173711_10",-62.4791128958814,-57.6285504024307
"173711_10",-62.3426664357237,-57.6518552210204
"173711_10",-62.1574851555665,-57.2935132705812
"173711_10",-62.1828175646229,-57.5319567175218
"173711_10",-62.125675381335,-57.5392681354307
"173711_10",-61.9822123954647,-57.5335134080236
"173711_10",-61.8031094932926,-57.0151997436197
"173711_10",-61.8799755573792,-57.10490300441
"173711_10",-61.9782843632115,-57.3006285689639
"173711_10",-62.2010077560559,-57.7087212840689
"173711_10",-62.130325040313,-57.3985047161326
"173711_10",-62.253518604795,-57.1275686550305
"173711_10",-62.4666260503624,-57.5733439205786
